news_url,image_url,title,text,source_name,date,topics,sentiment,type
https://seekingalpha.com/article/4358276-charts-implying-economic-weakness-july-2020?utm_source=feed_articles_market_outlook_economy&utm_medium=referral,https://cdn.snapi.dev/images/v1/s/t/stocks17-33.jpg,Charts Implying Economic Weakness - July 2020,U.S. economic indicators are depicting a broad range of readings.,Seeking Alpha,"Mon, 13 Jul 2020 22:52:48 -0400",,Negative,Article
https://www.reuters.com/article/us-global-oil/oil-prices-drop-on-demand-recovery-fears-amid-u-s-virus-surge-idUSKCN24F06M,https://cdn.snapi.dev/images/v1/z/f/m02d20200714t2i1525606811w940fhfwllplsqrlynxnpeg6d03l.jpg,Oil prices drop on demand recovery fears amid U.S. virus surge,Oil prices fell around 2% in early trade on Tuesday on worries that new clampdowns on businesses to stem surging coronavirus cases in California and other U.S. states could threaten the nascent recovery in fuel demand.,Reuters,"Mon, 13 Jul 2020 22:17:00 -0400",oil,Negative,Article
https://www.cnbc.com/2020/07/13/bank-earnings-should-deliver-an-upside-surprise-art-hogan.html,https://cdn.snapi.dev/images/v1/9/n/102178194-499252855.jpg,"Bank earnings will deliver an upside surprise and help boost market, top strategist Art Hogan predicts",National Securities' Art Hogan is optimistic bank earnings will come in better than expected and help lift stocks.,CNBC,"Mon, 13 Jul 2020 20:00:38 -0400",earnings,Positive,Article
https://www.youtube.com/watch?v=KV6qdCZjNos,https://cdn.snapi.dev/images/v1/b/e/what-to-expect-from-big-bank-earnings-and-stocks-in-a-volatile-market.jpg,What to expect from big bank earnings and stocks in a volatile market,"New Constructs CEO David Trainer joins the On the Move panel to break down what to expect from earnings season, and stocks to watch in a volatile market.",Yahoo Finance,"Mon, 13 Jul 2020 20:00:27 -0400",earnings,Neutral,Video
https://www.reuters.com/article/us-global-markets/asian-markets-struggle-to-digest-coronavirus-spike-idUSKCN24E32S,https://cdn.snapi.dev/images/v1/o/d/m02d20200713t2i1525595584w940fhfwllplsqrlynxnpeg6c1r6.jpg,Asian markets struggle to digest coronavirus spike,Asian shares are showing a mixed picture on Tuesday after a volatile day in U.S. equity markets amid persistent concerns over the record number of new coronavirus cases worldwide and signs of an economic rebound.,Reuters,"Mon, 13 Jul 2020 19:32:00 -0400",,Negative,Article
https://www.reuters.com/article/us-health-coronavirus-california-economy/californias-new-lockdown-dims-outlook-for-u-s-growth-in-pandemic-idUSKCN24E31R,https://cdn.snapi.dev/images/v1/p/f/m02d20200713t2i1525594604w940fhfwllplsqrlynxnpeg6c1qu.jpg,California's new lockdown dims outlook for U.S. growth in pandemic,"California Governor Gavin Newsom's decision Monday to reimpose restrictions on bars, restaurants, gyms and even ordinary office work to tamp down a surge of coronavirus infections is dimming economic growth prospects for the nation as a whole.",Reuters,"Mon, 13 Jul 2020 19:17:00 -0400",,Negative,Article
https://www.youtube.com/watch?v=K0eEq2K8SGY,https://cdn.snapi.dev/images/v1/i/f/ifk2e222.jpg,"Cramer's earnings preview: 'If the banks get hammered, things could get ugly.'","""This is the week when we find out if the real world is going to intrude on the stock market world,"" the ""Mad Money"" host said.",CNBC Television,"Mon, 13 Jul 2020 18:57:20 -0400","earnings,cramer,madmoney",Negative,Video
https://www.fool.com/investing/2020/07/13/sp-500-swings-from-gains-to-losses-as-tech-giants.aspx,https://cdn.snapi.dev/images/v1/s/l/sl2werf44-2.jpg,S&P 500 Swings From Gains to Losses as Tech Giants Tumble,"PepsiCo giant kicked off the week with solid earnings, and a major gambling market is set to reopen this week. It wasn't enough to keep stocks from turning down sharply at the end of the day as we head into earnings season.",The Motley Fool,"Mon, 13 Jul 2020 18:35:35 -0400",,Negative,Article
https://seekingalpha.com/article/4358252-week-changed-everything?utm_source=feed_articles_market_outlook_todays_market&utm_medium=referral,https://cdn.snapi.dev/images/v1/s/2/s2we2233-9.jpg,The Week That Changed Everything,"New coronavirus infections are rising to all-time highs in the US. Investors have placed ""Recovery"" stocks on hold as uncertainty concerning economic conditions and rising coronavirus infections return with a vengeance.",Seeking Alpha,"Mon, 13 Jul 2020 18:29:25 -0400",,Negative,Article
https://www.reuters.com/article/us-usa-china-stocks-exclusive/exclusive-trump-administration-to-soon-end-audit-deal-underpinning-chinese-listings-in-u-s-official-idUSKCN24E2XW,https://cdn.snapi.dev/images/v1/m/0/m02d20200713t2i1525589049w940fhfwllplsqrlynxnpeg6c1oz.jpg,Exclusive: Trump administration to soon end audit deal underpinning Chinese listings in U.S. - official,"The Trump administration plans to soon scrap a 2013 agreement between U.S. and Chinese auditing authorities, a senior State Department official said, a move that could foreshadow a broader crackdown on U.S.-listed Chinese firms under fire for sidestepping American disclosure rules.",Reuters,"Mon, 13 Jul 2020 18:28:00 -0400",,Neutral,Article
https://www.cnbc.com/2020/07/13/stock-market-futures-open-to-close-news.html,https://cdn.snapi.dev/images/v1/y/u/106597497-1593517775619gettyimages-1223460197.jpeg,Stock futures rise ahead of bank earnings,"Bank earnings kick off on Tuesday with Citigroup, JPMorgan Chase and Wells Fargo all set to report before the opening bell.",CNBC,"Mon, 13 Jul 2020 18:09:43 -0400",earnings,Positive,Article
https://www.youtube.com/watch?v=WKB9uQEXJ7k,https://cdn.snapi.dev/images/v1/0/v/market-laggards-will-become-leaders-during-earnings-season-btigs-emanuel.jpg,Market laggards will become leaders during earnings season: BTIG's Emanuel,"Julian Emanuel, BTIG managing director, on where he sees the markets heading.",CNBC Television,"Mon, 13 Jul 2020 18:09:27 -0400",earnings,Neutral,Video
https://www.investors.com/news/stock-upgrades-targa-resources-shows-rising-relative-strength-3/,https://cdn.snapi.dev/images/v1/s/j/m02d20191127t2i1457385542rlynxmpefaq199w640.jpg,Stock Upgrades: Targa Resources Shows Rising Relative Strength,A Relative Strength Rating upgrade for Targa Resources shows improving technical performance. Will it continue?,Investors Business Daily,"Mon, 13 Jul 2020 18:03:00 -0400",,Positive,Article
https://www.gurufocus.com/news/1184670/us-indexes-end-mostly-lower-monday-after-morning-rally,https://cdn.snapi.dev/images/v1/3/q/m02d20191121t2i1455018522rlynxmpefak11uw640.jpg,US Indexes End Mostly Lower Monday After Morning Rally,"The Dow Jones Industrial Average closed at 26,085.80 on Monday with a gain of 10.50 points or 0.04%.",GuruFocus,"Mon, 13 Jul 2020 18:00:15 -0400",,Negative,Article
