news_url,image_url,title,text,source_name,date,topics,sentiment,type,tickers
https://techcrunch.com/2019/11/15/libra-code/,https://cdn.snapi.dev/images/v1/z/c/lia92.jpg,"Facebook’s Libra code chugs along ignoring regulatory deadlock","“5 months and growing strong” the Libra Association announced today in an post about its technical infrastructure that completely omits the fierce regulatory backlash to its cryptocurrency. 40 wallets, tools, and block explorers plus 1,700 Github commits have how now been built on its blockchain testnet that’s seen 51,000 mock transactions in the past two […]",TechCrunch,"Fri, 15 Nov 2019 16:50:13 -0500",,Positive,Article,FB
https://investorplace.com/2019/11/5-top-stock-trades-for-monday-jd-jcp-fb-amat-and-acb/,https://cdn.snapi.dev/images/v1/i/m/important-kinds-of-stock-trading-2.jpg,"5 Top Stock Trades for Monday: JD, JCP, FB, AMAT and ACB","Facebook, Applied Materials, Aurora Cannabis, J. C. Penney and JD.com were our top stock trades for Monday.",InvestorPlace,"Fri, 15 Nov 2019 15:45:17 -0500",,Positive,Article,"ACB,AMAT,FB,JCP,JD"
https://www.marketwatch.com/story/tech-giants-google-amazon-and-facebook-accused-of-posing-threat-to-small-business-2019-11-15,https://cdn.snapi.dev/images/v1/s/k/sknwe.jpg,"Medill News Service: Tech giants Google, Amazon and Facebook accused of posing threat to small business","Tech giants Amazon, Google and Facebook are facing increasing scrutiny from Congress over their online dominance and potential to threaten the thousands of small businesses that compete with them.","Market Watch","Fri, 15 Nov 2019 14:33:42 -0500",,Negative,Article,"AMZN,FB,GOOG,GOOGL"
https://www.reuters.com/article/us-usa-election-advertising-factbox/factbox-how-social-media-sites-handle-political-ads-idUSKBN1XP22G,https://cdn.snapi.dev/images/v1/s/l/sl2mn3j322-1.jpg,"Factbox: How social media sites handle political ads","Online platforms including Facebook  and Alphabet Inc's   Google face growing pressure to stop carrying political ads that contain false or misleading claims ahead of the U.S. presidential election.",Reuters,"Fri, 15 Nov 2019 13:36:47 -0500",,Neutral,Article,"AMZN,FB,GOOG,GOOGL,PINS,SNAP,TWTR"
https://www.youtube.com/watch?v=VSepA4gLa1Y,https://cdn.snapi.dev/images/v1/f/b/fbff3-1.jpg,"Instagram begins to remove 'like' counts in an effort to combat mental health issues","The Social Chain Group CEO Steve Bartlett discusses the impact removing likes will have on ad revenue, influencers, and mental health.","Yahoo Finance","Fri, 15 Nov 2019 12:06:58 -0500",,Neutral,Video,FB
https://www.fool.com/investing/2019/11/15/2-big-benefits-of-facebooks-new-payments-platform.aspx,https://cdn.snapi.dev/images/v1/x/y/urlhttps3a2f2fgfoolcdncom2feditorial2fimages2f5478302ffacebook-pay-flow-messenger-3-across-1jpgw700opresize.jpg,"2 Big Benefits of Facebook's New Payments Platform","Facebook Pay allows users to pay friends and businesses across all of the social giant's apps.","The Motley Fool","Fri, 15 Nov 2019 12:00:00 -0500",,Positive,Article,FB
https://www.zacks.com/stock/news/621252/5-tech-behemoths-flying-high-in-2019-amid-trade-jitters,https://cdn.snapi.dev/images/v1/w/7/ij9223f-1.jpg,"5 Tech Behemoths Flying High in 2019 Amid Trade Jitters","Despite trade-related conflict with China, the technology sector has performed exceptionally well in 2019 so far, surpassing the broader market return.","Zacks Investment Research","Fri, 15 Nov 2019 08:30:00 -0500",,Positive,Article,"AAPL,FB,MSFT,NVDA,QCOM"
https://www.investors.com/news/cryptocurrency-market-eyes-stablecoin-future-digital-payments-surge/,https://cdn.snapi.dev/images/v1/s/l/slw2mlib2-1.jpg,"This Cryptocurrency Could Be The Next Social Networking King","The race is on to issue stablecoin, a type of cryptocurrency that could dictate who will control a key enabler of global trade and the economy.","Investors Business Daily","Fri, 15 Nov 2019 08:00:25 -0500",,Positive,Article,FB
https://www.cnn.com/2019/11/15/tech/facebook-libra-david-marcus-risk-takers/index.html,https://cdn.snapi.dev/images/v1/1/9/191113142003-01-risk-takers-series-david-marcus-calibra-super-169.jpg,"Meet the Facebook executive who wants you to trust him with your money","Facebook's David Marcus, who heads Facebook's development of the cryptocurrency Libra, hopes it can unlock financial services for 1.7 billion people around the world who lack access to traditional banks.","CNN Business","Fri, 15 Nov 2019 06:12:44 -0500",,Neutral,Article,FB
https://www.cnn.com/2019/11/14/tech/facebook-lease-office-hudson-yards/index.html,https://cdn.snapi.dev/images/v1/1/9/191114182754-hudson-yards-skyline-super-169.jpg,"Facebook signed a lease for 30 floors of office space in New York's Hudson Yards","Facebook signed a lease for more than 1.5 million square feet of office space in New York City's Hudson Yards.","CNN Business","Thu, 14 Nov 2019 19:10:57 -0500",,Neutral,Article,FB
